title,authors,first_publish_year,edition_count,publishers,isbn,subjects,description
AI Machine Learning,Kyle Allison,2024,1,,,,
Ensemble Machine Learning,M. A. Jabbar,2024,2,,,,
Reverse Hypothesis Machine Learning,Parag Kulkarni,2017,2,,,Machine learning,
Machine Learning Techniques,C. Perez,2019,2,,,,
Machine Learning for Imbalanced Data,"Kumar Abhishek, Mounir Abdelaziz",2023,1,,,,
Hyperparameter Optimization in Machine Learning,Tanay Agrawal,2020,2,,,"Python (computer program language), Open source software, Artificial intelligence",
Python Machine Learning Workbook for Beginners,AI Publishing,2020,1,,,,
Machine Learning in Drug Development,"Katherine Seley-Radtke, Joy Feng",2025,3,,,,
Machine Learning with Python Tutorial : a-Z Steps to Mastering Machine Learning with Python,Tessa Dreckman,2021,1,,,,
Machine Learning in Medicine,"Ayman El-Baz, Jasjit S. Suri",2021,5,,,"Medical informatics, Machine learning, Medicine, Data processing, COMPUTERS / Computer Graphics / Game Programming & Design, COMPUTERS / Machine Theory, MEDICAL / Biotechnology",
Privacy-Preserving Machine Learning,"J. Morris Chang, Di Zhuang, G. Dumindu Samaraweera",2022,2,,,,
Machine Learning in Translation,"Peng Wang, David Sawyer",2023,5,,,,
Managing Machine Learning Projects,Simon Thompson,2022,2,,,,
Scaling up Machine Learning,"Ron Bekkerman, John Langford",2011,5,,,"Machine learning, Data mining, Parallel programming (computer science)",
Python Machine Learning by Example,Yuxi Liu,2024,1,,,Science,
Machine learning,Tony Jebara,2003,3,,,Machine learning,
Machine Learning Fácil,"Maritza Palacios Medina, VÍCTOR VIERA BALANTA",2020,1,,,,
Python Für Machine Learning,Florian Dedov,2019,1,,,,
Machine Learning for Neuroscience,Chuck Easttom,2023,1,,,"Data mining, Neurosciences, Biomedical engineering, Electric engineering, Machine theory",
Machine Learning kompakt,Andriy Burkov,2019,1,,,,
Machine Learning,Aaron Kalvani,2019,1,,,Business,
Machine Learning with Python,G. R. Liu,2022,1,,,Science,
Machine Learning,Raja Sarath Kumar Boddu,2021,1,,,Education,
Machine Learning at Work,Abdallah Bari,2018,1,,,,
Machine Learning for Beginners,Jerry N. P.,2017,1,,,,
Principles of Machine Learning,Wenmin Wang,2024,1,,,,
Enhanced Machine Learning Algorithm,"Prity Vijay, Bright Keswani",2020,1,,,Science,
Machine Learning,Scott Landschof,2017,1,,,,
Machine Learning in Sports,"Rabiu Muazu Musa, Zahari Taha, Anwar P.P.Abdul Majeed, Mohamad Razali Abdullah",2018,1,,,"Sports, computer network resources",
Machine Learning in Astronomy,"Jess McIver, Ashish Mahabal, Christopher Fluke",2025,1,,,,
Machine Learning Evaluation,"Nathalie Japkowicz, Zois Boukouvalas",2024,1,,,,
Causal Machine Learning,"Jean Kaddour, Aengus Lynch, Qi Liu, Matt J. Kusner, Ricardo Silva",2025,1,,,,
Quantum Machine Learning,Peter Wittek,2014,3,,,"Data mining, Machine learning, Quantum theory",
Python Machine Learning,Lilly Trinity,2020,1,,,,
"Python Machine Learning, Second Edition","Sebastian Raschka, Vahid Mirjalili",2017,1,,,,
Machine Learning,Anthony Aline,2019,1,,,,
Machine Learning,Ryan Turner,2019,1,,,,
Python Machine Learning,Scott Harvey,2018,1,,,,
Machine Learning with Python,Hein Smith,2018,1,,,,
Machine Learning in Production,Suhas Pote,2023,2,,,"Artificial intelligence, Machine learning",
"AI, Machine Learning and Deep Learning","Fei Hu, Xiali Hei",2023,4,,,,
StatQuest Illustrated Guide to Machine Learning,Joshua Starmer,2022,3,,,"Computers, Technology",
Machine Learning,Hugh Howey,2017,3,,,"American Science fiction, Fiction, science fiction, short stories",
Machine Learning for Absolute Beginners,Ryan Hill,2018,1,,,,
Machine Learning for Engineers,Osvaldo Simeone,2022,3,,,,
Econometrics with Machine Learning,"László Mátyás, Felix Chan",2022,2,,,,
Real-World Machine Learning,"Henrik Brink, Joseph Richards, Mark Fetherolf",2016,2,,,Machine learning,
Clojure for Machine Learning,Akhil Wali,2014,2,,,"Java (Computer program language), Clojure (Computer program language), COMPUTERS, Programming Languages, Java, General, Java virtual machine, Machine learning",
Machine Learning for Text,Charu C. Aggarwal,2018,3,,,Machine learning,
Optimization for Machine Learning,"Suvrit Sra, Suvrit Sra, Sebastian Nowozin, Stephen J. Wright",2011,4,,,"Machine learning, Mathematical optimization",
Informatics and Machine Learning,Stephen Winters-Hilt,2021,4,,,,
Fuzzy Machine Learning,Arindam Chaudhuri,2021,3,,,,
Machine Learning Engineering with MLflow,Natu Lauchande,2021,2,,,Science,
Practical Machine Learning,Sunila Gollapudi,2016,2,,,"Machine learning, Apprentissage automatique, COMPUTERS / General",
"Blockchain, Big Data and Machine Learning","Neeraj Kumar, N. Gayathri, Arafatur Rahman, B. Balamurugan",2020,6,,,"Blockchains (Databases), Big data, Machine learning, Chaînes de blocs, Données volumineuses, Apprentissage automatique, COMPUTERS / Machine Theory, COMPUTERS / Computer Engineering, COMPUTERS / Cryptography",
Machine Learning and Deep Learning,Mark Howard,2018,1,,,,
Text Mining with Machine Learning,"Arnost Svoboda, Frantisek Dařena, Jan Zizka",2019,6,,,"Machine learning, Computational linguistics, Semantics, Data processing, Apprentissage automatique, Linguistique informatique, Sémantique, Informatique, COMPUTERS, Database Management, Data Mining, Machine Theory, MATHEMATICS, Arithmetic",
C4.5,"J. R. Quinlan, J. Ross Quinlan",1993,4,,,"Algorithms, Computer programming, Machine learning, Q325.5 .q56 1993, 006.3/1",machine learning
Machine Learning for Beginners,William J. Ford,2020,1,,,,
Machine Learning Crash Course,Dawson Barnes,2021,1,,,,
Google Professional Machine Learning Engineer,Dumps Course Den,2021,1,,,,
Machine Learning Quick Reference,Rahul Kumar,2019,1,,,Machine learning,
Machine Learning with Python,Robert Wilson - undifferentiated,2017,1,,,,
Machine Learning Quick Reference,Rahul Kumar,2019,1,,,,
Case-based learning,Janet L. Kolodner,1993,1,,,"Case-based reasoning, Machine learning",
Machine Learning with Python,Brian Walker,2019,1,,,,
Machine Learning in Dentistry,"Ching-Chang Ko, Dinggang Shen, Li Wang",2021,2,,,,
Machine Learning with Python,Tarkeshwar Barua,2022,3,,,,
Machine Learning with SAP,"Laboni Bhowmik, Avijit Dhar, Ranajay Mukherjee",2020,1,,,"Science, Technology, Computer software",
Dynamic Fuzzy Machine Learning,"Fanzhang Li, Li Zhang, Zhao Zhang",2017,3,,,"Machine learning, Fuzzy logic",
Distributed Machine Learning Patterns,Yuan Tang,2022,2,,,,
Introduction au Machine Learning,Chloé-Agathe Azencott,2018,1,,,,
Mastering .NET Machine Learning,Jamie Dixon,2016,1,,,"Machine learning, Microsoft .net",
Machine Learning with R,Abhijit Ghatak,2017,3,,,"Machine learning, Programming languages (electronic computers)",
Lie Group Machine Learning,Fanzhang Li,2018,3,,,"Machine learning, Lie groups",
Machine Learning for Econometrics,"Christophe Gaillac, Jérémy L'Hour",2025,2,,,,
Machine Learning for Dummies,"Luca Massaron, John Paul Mueller",2025,3,,,,
Machine Learning Engineering with Python,Andrew P. McMahon,2021,4,,,,
Machine Learning with Python,Parteek Bhatia,2022,3,,,,
Kubeflow for Machine Learning,"Holden Karau, Trevor Grant, Ilan Filonenko, Richard Liu, Boris Lublinsky",2020,1,,,Science,
Machine learning in bioinformatics,"Yan-Qing Zhang, Jagath Chandana Rajapakse",2008,1,,,"Artificial Intelligence, Bioinformatics, Medical Informatics, Computational Biology, Machine learning",
Machine Learning in Geomechanics 1,"Ioannis Stefanou, Félix Darve",2024,4,,,"Machine learning, Geophysics",
Machine Learning Engineering on AWS,Joshua Arvin Lat,2022,2,,,,
Machine Learning Foundation,Anderson Sage,2022,1,,,,
Concise Introduction to Machine Learning,A C Faul,2019,6,,,"Machine learning, Textbooks, BUSINESS & ECONOMICS, Statistics, COMPUTERS, General, Computer Graphics, Game Programming & Design",
Advances in financial machine learning,Marcos Mailoc López de Prado,2018,1,,,"Mathematical models, Finance, Data processing, Machine learning, Finance, data processing, Finances, Informatique, Modèles mathématiques, Apprentissage automatique, BUSINESS & ECONOMICS, Investments & Securities","""Machine learning (ML) is changing virtually every aspect of our lives. Today ML algorithms accomplish tasks that until recently only expert humans could perform. As it relates to finance, this is the most exciting time to adopt a disruptive technology that will transform how everyone invests for generations. Readers will learn how to structure Big data in a way that is amenable to ML algorithms; how to conduct research with ML algorithms on that data; how to use supercomputing methods; how to backtest your discoveries while avoiding false positives. The book addresses real-life problems faced by practitioners on a daily basis, and explains scientifically sound solutions using math, supported by code and examples. Readers become active users who can test the proposed solutions in their particular setting. Written by a recognized expert and portfolio manager, this book will equip investment professionals with the groundbreaking tools needed to succeed in modern finance""--"
AWS Certified Machine Learning Study Guide,"Shreyas Subramanian, Stefan Natu",2021,3,,,,
Python Machine Learning,Mark Reed,2022,2,,,,
Machine Learning with PYTHON,Eric Chamberlin,2020,2,,,,
Machine Learning and Deep Learning,"Singh, Vikram, 1st, Mehra, Surendra, 2nd, 3rd Mahalakshmi",2022,1,,,Reference books,
Machine Learning con PyTorch y Scikit-Learn,"Sebastian Raschka, Yuxi (Hayden) Liu, Vahid Mirjalili",2023,1,,,,
Machine Learning for Business,George Pain,2017,1,,,,
Python Machine Learning,Leonard Foster,2019,1,,,,
Machine Learning with Python,Ethan Williams,2019,1,,,,
Machine Learning,Peter BRADLEY,2019,1,,,,
Introduction to Machine Learning,Stephen Marsland,2008,1,,,"Algorithms, Machine learning",
Introduction to Machine Learning,Miroslav Kubat,2015,2,,,,
Machine Learning in R,Alexandros Karatzoglou,2019,2,,,Machine learning,
Machine Learning in Industry,"Shubhabrata Datta, J. Paulo Davim",2021,2,,,,
Applications of Machine Learning,"Prashant Johri, Jitendra Kumar Verma, Sudip Paul",2020,2,,,,
Art of Machine Learning,Norman Matloff,2022,1,,,,
AI and Machine Learning,Was Rahman,2020,1,,,Science,
Model-Based Machine Learning,John Michael Winn,2021,2,,,Machine learning,
ReRAM-Based Machine Learning,"Hao Yu, Leibin Ni, Sai Manoj Pudukotai Dinakarrao",2021,2,,,,
Machine Learning for Managers,Paul Geertsema,2023,2,,,Economics,
Machine Learning for Healthcare,Rasit Dinc,2024,2,,,,
Fundamentals of Machine Learning,Mia Williams,2021,1,,,,
Machine Learning for Text,Charu Aggarwal,2022,1,,,,
Machine Learning for Kids,Dr Dhoot,2019,1,,,,
R Machine Learning Essentials,Michele Usuelli,2014,2,,,"Machine learning, R (Computer program language)",
Machine Learning with OneAPI,"Shriram K. Vasudevan, Nitin Vamsi Dantu, Sini Raj Pulari, T. S. Murugesh",2023,2,,,Science,
Machine Learning in Geosciences,"Gerard Schuster, Yuqing Chen, Yongxiang Shi, Shihang Feng, Zhaolun Liu",2024,2,,,"Science, Physics",
Fundamentals of Machine Learning,,2018,1,,,,
Scala for Machine Learning,Patrick R. Nicolas,2014,2,,,,
Advances in Machine Learning,"Takashi Washio,Zhi-Hua Zhou",2009,1,,,,
Graph-Powered Machine Learning,Alessandro Nego,2020,1,,,,
Machine Learning,Matt Harrison,2019,1,,,,A Quick Guide to Structured Machine Learning Techniques
Machine Learning in Bioinformatics,"Yanqing Zhang, Jagath C. Rajapakse",2008,2,,,"Bioinformatics, Machine learning",
Fundamentals of Machine Learning,Thomas Trappenberg,2019,1,,,Machine learning,
Introduction to Machine Learning,George C. Runger,2025,2,,,,
Machine Learning for Biometrics,"Partha Pratim Sarangi, Madhumita Panda, Subhashree Mishra, Bhabani Shankar Prasad Mishra, Banshidhar D. Majhi",2022,2,,,,
Quantum Machine Learning,Djabeur Mohamed Seifeddine Zekrifa,2023,1,,,Computers,
Feature Projection in Machine Learning,"Landa RAO, Karakavalasa DURGA AKHIL",2021,1,,,,
MATLAB Machine Learning Recipes,"Michael Paluszek, Stephanie Thomas",2019,2,,,"Matlab (computer program), Machine learning",
Machine Learning in Production,Christian Kastner,2025,1,,,,
Collaborative filtering:  A machine learning perspective,Benjamin Marlin,2004,1,,,,
Introduction to Machine Learning,Ruye Wang,2025,2,,,,
Graph Machine Learning,"Claudio Stamile, Aldo Marzullo, Enrico Deusebio",2021,2,,,Science,
Supervised Machine Learning with Python,Taylor Smith,2019,1,,,"Machine learning, Python (computer program language)",
MACHINE LEARNING,F. MARQUÉS,2020,2,,,,
Ensemble Machine Learning Cookbook,"Dipayan Sarkar, Vijayalakshmi Natarajan",2019,2,,,"Machine learning, Python (computer program language)",
Machine learning,"Hojjat Adeli, Shih-Lin Hung",1994,2,,,Machine learning,
Captain Underpants and the Perilous Plot of Professor Poopypants,Dav Pilkey,2000,47,,,"Humorous stories, Héroes, Juvenile fiction, School principals, Ficción juvenil, Cartoons and comics, Superintendentes y directores, Escuelas, Cuentos humorísticos, Schools, Heroes, Fiction, Children's fiction, Schools, fiction, Heroes, fiction, Captain underpants (fictitious character), fiction, Teachers, fiction, Adventure and adventurers, fiction, Bilingual books, spanish-english, Captain, Underpants, Children's, Captain Underpants (Fictitious character), Science fiction, Bandes dessinées, Romans pour la jeunesse, Héros, Récits humoristiques, Caricatures and cartoons, Directeurs d'école, Écoles, Robots, fiction","Por burlarse del nombre del profesor Pipicaca, Jorge y Beto están a punto de hacer que su nuevo maestro de ciencia enloquecido de rabia se apodere del planeta entero. Pero Capitán Calzoncillos viene al rescate.

When Professor Pippy P. Poopypants comes to Jerome Horwitz Elementary School to teach science, and he goes off the deep end because students make fun of his name, only Captain Underpants can save the school from the professor's perilous plot."
Mastering Machine Learning on AWS,"Saket S. R. Mengle, Maximo Gurmendez",2019,2,,,Machine learning,
Machine Learning,Richard Forsyth,1986,3,,,"Expert systems (Computer science), Information retrieval, Machine learning",
Machine Learning,Peter Bradley,2018,5,,,,
Machine Learning and Data Science,"Charu Gupta, Anand Sharma, Vishu Nadaan, Prateek Agrawal, Nisheeth Joshi",2021,4,,,,
Lindahl Letter,Nels Lindahl,2022,5,,,,
Machine Learning in Radiation Oncology,"Issam El Naqa, Ruijiang Li, Martin J. Murphy",2015,3,,,"Artificial intelligence, Machine learning, Radiotherapy",
Machine Learning in Java,Bostjan Kaluza,2016,3,,,"Machine learning, Java (computer program language)",
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow, 2nd Edition","Sebastian Raschka, Vahid Mirjalili",2017,1,,,"Python (computer program language), Machine learning, Python (Computer program language), Python (Langage de programmation), Apprentissage automatique, Python (Lenguaje de programación para computadoras), Aprendizaje automático (Inteligencia artificial), Qa76.73.p98 r37 2017",
Machine Learning,Thomas Farth,2018,3,,,,
Machine Learning con PyTorch y Scikit-Learn,"Sebastian Raschka, Yuxi (Hayden) Liu, Vahid Mirjalili",2023,1,,,,
Fast Food Nation,Eric Schlosser,2001,39,,,"politics, health, current events, sociology, McDonald's, food, American cooking, social science, popular culture, cooking, feeding behavior, social aspects, foods, quality, trade marks, food industry, health hazards, food safety, Voedingsgewoonten, Fastfood, Health & Fitness, Media Studies, Industria y comercio, Restaurantes de comida rápida, Cookery, Cooking & Food, Nonfiction, Alimentos, Cuisine américaine, Fast food restaurants, Food industry and trade, Alimentos de conveniencia, Convenience foods, Food habits, Diet, Ernährungsgewohnheit, Ess- und Trinksitte, Ernährung, Fast Food, Lebensmittelindustrie, Lebensmittelfälschung, Convienience foods, Large type books, Comida de preparación rápida, Comida basura, Industria alimentaria, History, United states, social life and customs, Restaurants, united states, Restaurants-minute, Aliments, Industrie et commerce, Aliments précuisinés, New York Times reviewed, Diet in disease, Habitudes alimentaires, Cuisine, Régimes alimentaires, Recipes, Customs & Traditions, Agribusiness, Labor, Fast food restaurants--united states, Food industry and trade--united states, Convenience foods--united states, Fast foods, Diet, western, Nutritive value, Business & economics--industries--agribusiness, Business & economics--labor, Social science--popular culture, Snabbmatsrestauranger, Snabbmat, Fast food restaurants--history, Fast food restaurants--united states--history, Tx945.3 .s355 2012, 338.1/973, Bus077000 bus070120 hea017000 his054000 his036060","To a degree both engrossing and alarming, the story of fast food is the story of postwar Amerca. Though created by a handful of mavericks, the fast food industry has triggered the homogenization of our society. Fast food has hastened the malling of our landscape, widened the chasm between rich and poor, fueled an epidemic of obesity, and propelled the juggernaut of American cultural imperialism abroad. That's a lengthy list of charges, but Eric Schlosser makes them stick with an artful mix of first-rate reportage, wry wit, and careful reasoning.

Schlosser's myth-shattering survey stretches from the California subdivisions where the business was born to the industrial corridor along the New Jersey Turnpike where many of fast food's flavors are concocted. He hangs out with the teenagers who make the restaurants run and communes with those unlucky enough to hold America's most dangerous job -- meatpacker. He travels to Las Vegas for a giddily surreal franchisers' convention where Mikhail Gorbachev delivers the keynote address. He even ventures to England and Germany to clock the rate at which those countries are becoming fast food nations.

Along the way, Schlosser unearths a trove of fascinating, unsettling truths -- from the unholy alliance between fast food and Hollywood to the seismic changes the industry has wrought in food production, popular culture, and even real estate. He also uncovers the fast food chains' efforts to reel in the youngest, most susceptible consumers even while they hone their institutionalized exploitation of teenagers and minorities. Schlosser then turns a critical eye toward the hot topic of globalization -- a phenomenon launched by fast food.

FAST FOOD NATION is a groundbreaking work of investigation and cultural history that may change the way America thinks about the way it eats."
Machine Learning Proceedings 2000,International Conference Machine Learning,2000,1,,,"Machine learning, Congresses, Artificial intelligence",
Machine learning in bioinformatics,Yan-Qing Zhang,2008,1,,,"Bioinformatics, Machine learning",
Advances in Machine Learning,Johannes Burdack,2021,1,,,Computers,
Handbook of Machine Learning,Tshilidzi Marwala,2018,1,,,"Machine learning, Artificial intelligence",
Mathematics for Machine Learning,Prentiss Bussini,2020,1,,,,
Selected machine learning reductions,Anna Ewa Choromanska,2014,1,,,,"Machine learning is a field of science aiming to extract knowledge from the data. Optimization lies in the core of machine learning as many learning problems are formulated as optimization problems, where the goal is to minimize/maximize an objective function. More complex machine learning problems are then often solved by reducing them to simpler sub-problems solvable by known optimization techniques. This dissertation addresses two elements of the machine learning system 'pipeline', designing efficient basic optimization tools tailored to solve specific learning problems, or in other words optimize a specific objective function, and creating more elaborate learning tools with sub-blocks being essentially optimization solvers equipped with such basic optimization tools. In the first part of this thesis we focus on a very specific learning problem where the objective function, either convex or non-convex, involves the minimization of the partition function, the normalizer of a distribution, as is the case in conditional random fields (CRFs) or log-linear models.

Our work proposes a tight quadratic bound on the partition function which parameters are easily recovered by a simple algorithm that we propose. The bound gives rise to the family of new optimization learning algorithms, based on bound majorization (we developed batch, both full-rank and low-rank, and semi-stochastic variants), with linear convergence rate that successfully compete with state-of-the-art techniques (among them gradient descent methods, Newton and quasi-Newton methods like L-BFGS, etc.). The only constraint we introduce is on the number of classes which is assumed to be finite and enumerable. The bound majorization method we develop is simultaneously the first reduction scheme discussed in this thesis, where throughout this thesis by 'reduction' we understand the learning approach or algorithmic technique converting a complex machine learning problem into a set of simpler problems (that can be as small as a single problem). Secondly, we focus on developing two more sophisticated machine learning tools, for solving harder learning problems.

The tools that we develop are built from basic optimization sub-blocks tailored to solve simpler optimization sub-problems. We first focus on the multi class classification problem where the number of classes is very large. We reduce this problem to a set of simpler sub-problems that we solve using basic optimization methods performing additive update on the parameter vector. Secondly we address the problem of learning data representation when the data is unlabeled for any classification task. We reduce this problem to a set of simpler sub-problems that we solve using basic optimization methods, however this time the parameter vector is updated multiplicatively. In both problems we assume that the data come in a stream that can even be infinite. We will now provide more specific description of each of these problems and describe our approach for solving them. In the multi class classification problem it is desirable to achieve train and test running times which are logarithmic in the label complexity.

The existing approaches to this problem are either intractable or do not adapt well to the data. We propose a reduction of this problem to a set of binary regression problems organized in a tree structure and introduce a new splitting criterion (objective function) allowing gradient descent style optimization (bound optimization methods can also be used). A decision tree algorithm that we obtain differs from traditional decision trees in the objective optimized, and in how that optimization is done. The different objective has useful properties, such us it guarantees balanced and small-error splits, while the optimization uses an online learning algorithm that is queried and trained simultaneously as we pass over the data. Furthermore, we prove an upper-bound on the number of splits required to reduce the entropy of the tree leafs below small threshold. We empirically show that the trees we obtain have logarithmic depth, which implies logarithmic training and testing running times, and significantly smaller error than random trees.

Finally, we consider the problem of unsupervised (clustering) learning of data representation, where the quality of obtained clustering is measured using a very simple, intuitive and widely cited clustering objective, k-means clustering objective. We introduce a family of online clustering algorithms by extending algorithms for online supervised learning, with access to expert predictors (which are basic sub-blocks of our learning system), to the unsupervised learning setting. The parameter vector corresponds to the probability distribution over the experts. Different update rules for the parameter vector depend on an approximation to the current value of the k-means clustering objective obtained by each expert, and model different levels of non-stationarity in the data. We show that when the experts are batch clustering algorithms with approximation guarantees with respect to the k-means clustering objective, applied to a sliding window of the data stream, our algorithms obtain approximation guarantees with respect to the k-means clustering objective.

Thus simultaneously we address an open problem posed by Dasgupta for approximating k-means clustering objective on data streams. We experimentally show that our algorithms' empirical performance tracks that of the best clustering algorithm in its experts set and that our algorithms outperform widely used online algorithms."
Machine Learning Part I,Bharathi S,2020,1,,,,
Representation in Machine Learning,"M. N. Murty, M. Avinash",2022,1,,,,
